C1,C3,bq,likelihood
-0.06263999999999997,-0.29975999999999997,0.6409892,-102.27587235579138
-0.05639999999999998,-0.29975999999999997,0.6409892,-102.27587235579138
-0.05015999999999998,-0.29975999999999997,0.6409892,-102.27587235579138
-0.043920000000000015,-0.29975999999999997,0.6409892,-102.27587235579138
-0.03767999999999999,-0.29975999999999997,0.6409892,-102.27587235579138
-0.03143999999999997,-0.29975999999999997,0.6409892,-102.27587235579138
-0.0252,-0.29975999999999997,0.6409892,-102.27587235579138
-0.018959999999999977,-0.29975999999999997,0.6409892,-102.27587235579138
-0.012720000000000009,-0.29975999999999997,0.6409892,-102.27587235579138
-0.006479999999999986,-0.29975999999999997,0.6409892,-102.27587235579138
-0.00024000000000001798,-0.29975999999999997,0.6409892,-102.27587235579138
-0.306,-0.29352,0.6409892,-30.256019992724596
-0.29975999999999997,-0.29352,0.6409892,-29.042353581577782
-0.29352,-0.29352,0.6409892,-28.036127916481163
-0.28728,-0.29352,0.6409892,-27.347248066155462
-0.28104,-0.29352,0.6409892,-27.096714664784326
-0.2748,-0.29352,0.6409892,-27.444607206029158
-0.26856,-0.29352,0.6409892,-28.51550234311514
-0.26232,-0.29352,0.6409892,-30.444215314484158
-0.25608,-0.29352,0.6409892,-33.36267154701149
-0.24984,-0.29352,0.6409892,-37.39745409690967
-0.24359999999999998,-0.29352,0.6409892,-42.66407643696304
-0.23736,-0.29352,0.6409892,-49.28665405687158
-0.23112,-0.29352,0.6409892,-57.368147521467904
-0.22488,-0.29352,0.6409892,-67.0156856803051
-0.21864,-0.29352,0.6409892,-78.53495294849553
-0.21239999999999998,-0.29352,0.6409892,-93.22375444207738
-0.20616,-0.29352,0.6409892,-102.27587235579138
-0.19992,-0.29352,0.6409892,-102.27587235579138
-0.19368000000000002,-0.29352,0.6409892,-102.27587235579138
-0.18744,-0.29352,0.6409892,-102.27587235579138
-0.18119999999999997,-0.29352,0.6409892,-102.27587235579138
-0.17496,-0.29352,0.6409892,-102.27587235579138
-0.16871999999999998,-0.29352,0.6409892,-102.27587235579138
-0.16247999999999999,-0.29352,0.6409892,-102.27587235579138
-0.15624,-0.29352,0.6409892,-102.27587235579138
-0.15,-0.29352,0.6409892,-102.27587235579138
-0.14376,-0.29352,0.6409892,-102.27587235579138
-0.13751999999999998,-0.29352,0.6409892,-102.27587235579138
-0.13127999999999998,-0.29352,0.6409892,-102.27587235579138
-0.12504,-0.29352,0.6409892,-102.27587235579138
-0.11879999999999999,-0.29352,0.6409892,-102.27587235579138
-0.11256,-0.29352,0.6409892,-102.27587235579138
-0.10632,-0.29352,0.6409892,-102.27587235579138
-0.10007999999999997,-0.29352,0.6409892,-102.27587235579138
-0.09383999999999998,-0.29352,0.6409892,-102.27587235579138
-0.08760000000000001,-0.29352,0.6409892,-102.27587235579138
-0.08136000000000002,-0.29352,0.6409892,-102.27587235579138
-0.07511999999999999,-0.29352,0.6409892,-102.27587235579138
-0.06888,-0.29352,0.6409892,-102.27587235579138
-0.06263999999999997,-0.29352,0.6409892,-102.27587235579138
-0.05639999999999998,-0.29352,0.6409892,-102.27587235579138
-0.05015999999999998,-0.29352,0.6409892,-102.27587235579138
-0.043920000000000015,-0.29352,0.6409892,-102.27587235579138
-0.03767999999999999,-0.29352,0.6409892,-102.27587235579138
-0.03143999999999997,-0.29352,0.6409892,-102.27587235579138
-0.0252,-0.29352,0.6409892,-102.27587235579138
-0.018959999999999977,-0.29352,0.6409892,-102.27587235579138
-0.012720000000000009,-0.29352,0.6409892,-102.27587235579138
-0.006479999999999986,-0.29352,0.6409892,-102.27587235579138
-0.00024000000000001798,-0.29352,0.6409892,-102.27587235579138
-0.306,-0.28728,0.6409892,-27.74487945961379
-0.29975999999999997,-0.28728,0.6409892,-26.497716505233125
-0.29352,-0.28728,0.6409892,-25.31458330414404
-0.28728,-0.28728,0.6409892,-24.300730237043336
-0.28104,-0.28728,0.6409892,-23.60657284663728
-0.2748,-0.28728,0.6409892,-23.352769763101936
-0.26856,-0.28728,0.6409892,-23.675019969092695
-0.26232,-0.28728,0.6409892,-24.71021360080874
-0.25608,-0.28728,0.6409892,-26.593392085174766
-0.24984,-0.28728,0.6409892,-29.45138149487158
-0.24359999999999998,-0.28728,0.6409892,-33.42142695593931
-0.23736,-0.28728,0.6409892,-38.61951827285742
-0.23112,-0.28728,0.6409892,-45.159418389642255
-0.22488,-0.28728,0.6409892,-53.15107657679401
-0.21864,-0.28728,0.6409892,-62.700542989775585
-0.21239999999999998,-0.28728,0.6409892,-74.07494039315647
-0.20616,-0.28728,0.6409892,-88.49805912239385
-0.19992,-0.28728,0.6409892,-102.27587235579138
-0.19368000000000002,-0.28728,0.6409892,-102.27587235579138
-0.18744,-0.28728,0.6409892,-102.27587235579138
-0.18119999999999997,-0.28728,0.6409892,-102.27587235579138
-0.17496,-0.28728,0.6409892,-102.27587235579138
-0.16871999999999998,-0.28728,0.6409892,-102.27587235579138
-0.16247999999999999,-0.28728,0.6409892,-102.27587235579138
-0.15624,-0.28728,0.6409892,-102.27587235579138
-0.15,-0.28728,0.6409892,-102.27587235579138
-0.14376,-0.28728,0.6409892,-102.27587235579138
-0.13751999999999998,-0.28728,0.6409892,-102.27587235579138
-0.13127999999999998,-0.28728,0.6409892,-102.27587235579138
-0.12504,-0.28728,0.6409892,-102.27587235579138
-0.11879999999999999,-0.28728,0.6409892,-102.27587235579138
-0.11256,-0.28728,0.6409892,-102.27587235579138
-0.10632,-0.28728,0.6409892,-102.27587235579138
-0.10007999999999997,-0.28728,0.6409892,-102.27587235579138
-0.09383999999999998,-0.28728,0.6409892,-102.27587235579138
-0.08760000000000001,-0.28728,0.6409892,-102.27587235579138
-0.08136000000000002,-0.28728,0.6409892,-102.27587235579138
-0.07511999999999999,-0.28728,0.6409892,-102.27587235579138
-0.06888,-0.28728,0.6409892,-102.27587235579138
-0.06263999999999997,-0.28728,0.6409892,-102.27587235579138
-0.05639999999999998,-0.28728,0.6409892,-102.27587235579138
-0.05015999999999998,-0.28728,0.6409892,-102.27587235579138
-0.043920000000000015,-0.28728,0.6409892,-102.27587235579138
-0.03767999999999999,-0.28728,0.6409892,-102.27587235579138
-0.03143999999999997,-0.28728,0.6409892,-102.27587235579138
-0.0252,-0.28728,0.6409892,-102.27587235579138
-0.018959999999999977,-0.28728,0.6409892,-102.27587235579138
-0.012720000000000009,-0.28728,0.6409892,-102.27587235579138
-0.006479999999999986,-0.28728,0.6409892,-102.27587235579138
-0.00024000000000001798,-0.28728,0.6409892,-102.27587235579138
-0.306,-0.28104,0.6409892,-25.33416438584832
-0.29975999999999997,-0.28104,0.6409892,-24.154624459634093
-0.29352,-0.28104,0.6409892,-22.916996922245215
-0.28728,-0.28104,0.6409892,-21.74767872128527
-0.28104,-0.28104,0.6409892,-20.750583378331307
-0.2748,-0.28104,0.6409892,-20.051321811544142
-0.26856,-0.28104,0.6409892,-19.782472204476232
-0.26232,-0.28104,0.6409892,-20.079631330987056
-0.25608,-0.28104,0.6409892,-21.074319102156
-0.24984,-0.28104,0.6409892,-22.912003310895653
-0.24359999999999998,-0.28104,0.6409892,-25.71980092601493
-0.23736,-0.28104,0.6409892,-29.624505601713974
-0.23112,-0.28104,0.6409892,-34.74924082732113
-0.22488,-0.28104,0.6409892,-41.20820372790455
-0.21864,-0.28104,0.6409892,-49.11044553126705
-0.21239999999999998,-0.28104,0.6409892,-58.56993580954105
-0.20616,-0.28104,0.6409892,-69.80563004045324
-0.19992,-0.28104,0.6409892,-83.95594482425176
-0.19368000000000002,-0.28104,0.6409892,-102.27587235579138
-0.18744,-0.28104,0.6409892,-102.27587235579138
-0.18119999999999997,-0.28104,0.6409892,-102.27587235579138
-0.17496,-0.28104,0.6409892,-102.27587235579138
-0.16871999999999998,-0.28104,0.6409892,-102.27587235579138
-0.16247999999999999,-0.28104,0.6409892,-102.27587235579138
-0.15624,-0.28104,0.6409892,-102.27587235579138
-0.15,-0.28104,0.6409892,-102.27587235579138
-0.14376,-0.28104,0.6409892,-102.27587235579138
-0.13751999999999998,-0.28104,0.6409892,-102.27587235579138
-0.13127999999999998,-0.28104,0.6409892,-102.27587235579138
-0.12504,-0.28104,0.6409892,-102.27587235579138
-0.11879999999999999,-0.28104,0.6409892,-102.27587235579138
-0.11256,-0.28104,0.6409892,-102.27587235579138
-0.10632,-0.28104,0.6409892,-102.27587235579138
-0.10007999999999997,-0.28104,0.6409892,-102.27587235579138
-0.09383999999999998,-0.28104,0.6409892,-102.27587235579138
-0.08760000000000001,-0.28104,0.6409892,-102.27587235579138
