C3,fast_likelihood_quarks.yaml,fast_likelihood_leptons.yaml,likelihood_ewpt.yaml,likelihood_eeww.yaml,likelihood_lept.yaml,likelihood_rd_rds.yaml,likelihood_lfu_fccc.yaml,likelihood_lfu_fcnc.yaml,likelihood_bcpv.yaml,likelihood_bqnunu.yaml,likelihood_lfv.yaml,likelihood_zlfv.yaml,likelihood_higgs.yaml,global
-0.2387755102040816,8.511243920232118,-2.3231454774557605,-0.1631021851020975,0.0,9.304974275536892e-07,-9.244943062128844,-0.10085660658725004,0.2290759742849815,0.016067082194961557,-68.0,0.0,0.0,7.20671030940423e-05,-71.07558735696138
-0.23265306122448978,8.652441718885484,-2.2519337071061187,-0.15692059428576854,0.0,8.894689648153431e-07,-6.9923181617495125,-0.0975968725646652,0.22209874223036152,0.015507934212785734,-68.0,0.0,0.0,7.031948330649129e-05,-68.60864973142517
-0.22653061224489796,8.770185048036865,-2.181322979697647,-0.15083922873361288,0.0,8.484403993813672e-07,-4.862270345465856,-0.09437537002234109,0.21521002768161956,0.014958582190279124,-68.0,0.0,0.0,6.857173796248617e-05,-66.28838484583233
-0.2204081632653061,8.865709377534358,-2.111313301088643,-0.1448580834533999,0.0,8.074117315848284e-07,-2.85346326084143,-0.09119179886575779,0.20945599702589135,0.014420216467215141,-68.0,0.0,0.0,6.682386707979049e-05,-64.11117322194295
-0.21428571428571427,8.940171533850616,-2.041904676457591,-0.13897715345334305,0.0,7.663829610926598e-07,-0.9645655221830083,-0.08804586018268878,0.2022990496350534,0.01388841634528859,-68.0,0.0,0.0,6.50758706441934e-05,-62.077068370192066
-0.20816326530612245,8.994653408244858,-1.9730971101592445,-0.1331964337431515,0.0,7.25354088459973e-07,0.805748298524037,-0.08493725624432358,0.19524591172970673,0.013365709004443005,-68.0,0.0,0.0,6.332774866280033e-05,-60.182153419540924
-0.2020408163265306,9.030169078036806,-1.9048906056138577,-0.12751591932999062,0.0,6.84325113020634e-07,2.4587982647692073,-0.08186569050479164,0.18829780739030788,0.012851894764545513,-68.0,0.0,0.0,6.157950114271671e-05,-58.42409290666152
-0.19591836734693877,9.047670036870159,-1.8372851652215303,-0.12193560522398883,0.0,6.432960352187322e-07,3.9958989127648437,-0.0788308676010061,0.18108113386593416,0.012346786779137808,-68.0,0.0,0.0,5.983112807328439e-05,-56.80099429334234
-0.18979591836734694,9.048050068282237,-1.7702807902967734,-0.11645548643340575,0.0,6.02266854832223e-07,5.41835945100248,-0.07583249335323927,0.1743495119450813,0.011850210126314487,-105.26223953572173,0.0,0.0,5.808262946516152e-05,-92.57214037955272
-0.18367346938775508,9.032193103175587,-1.7038774810075807,-0.11107555796864332,0.0,5.612375719721285e-07,6.7274837249432515,-0.07287027476432684,0.16772637429729365,0.011362000960033036,-78.54220321886316,0.0,0.0,5.633400530768995e-05,-64.49120443398468
