C,fast_likelihood_quarks.yaml,fast_likelihood_leptons.yaml,likelihood_ewpt.yaml,likelihood_eeww.yaml,likelihood_lept.yaml,likelihood_rd_rds.yaml,likelihood_lfu_fccc.yaml,likelihood_lfu_fcnc.yaml,likelihood_bcpv.yaml,likelihood_bqnunu.yaml,likelihood_lfv.yaml,likelihood_zlfv.yaml,likelihood_higgs.yaml,global
-0.2387755102040816,-69.76085381872667,-1.542913536885095,-0.15681777525720975,-0.0002230630899617836,-1.6935707918275256e-06,-8.730743344621256,-0.0856811580258352,-25.346481770684225,0.01071835888221706,2.2257853467381405,-2.8868308347150204,-1.1170752456379773e-05,0.00025229471765442213,-106.27380216599053
-0.23265306122448978,-59.537152722520545,-1.4980582754614176,-0.1513289698035365,-0.0002173423150786391,-1.650143614861932e-06,-6.5313325134672375,-0.08284732705438813,-24.088506771224193,0.010333963088875464,2.182891789266357,-2.6055292329701825,-1.0605236807847973e-05,0.000245828042586993,-92.30151382979918
-0.22653061224489796,-50.314357063504985,-1.4534811779265695,-0.14591736870317362,-0.0002116216038459129,-1.6067165573563358e-06,-4.451327510368888,-0.08005039145429294,-22.852776996330324,0.009955436088771918,2.138564156175933,-2.345389116252907,-1.0054409964155298e-05,0.00023936124014767302,-79.49476395376665
-0.2204081632653061,-42.02917969190514,-1.4091822821220887,-0.1405829760255486,-0.00020590095618544524,-1.5632896201989155e-06,-2.4894286641099264,-0.07729006792706627,-21.638539525574874,0.009581592752938128,2.092866056117062,-2.1053166726310906,-9.518271925301747e-06,0.0002328943103009351,-67.78705631963317
-0.21428571428571427,-34.623890484257345,-1.3651616256324672,-0.13532579584535043,-0.000200180372136316,-1.5198628031676265e-06,-0.6443413719410991,-0.07456607424066419,-20.444272432572014,0.00921378799897088,2.0458546845255245,-1.8842472585018264,-8.99682268595825e-06,0.00022642725309296452,-57.11672084027079
-0.20816326530612245,-28.032134843316044,-1.3214192457795662,-0.13014583223200304,-0.00019445985169497249,-1.4764361072616694e-06,1.0852225000256404,-0.07187812922937553,-19.270545355672507,0.008851591766380729,1.9975851863425635,-1.681145398590548,-8.490062231913953e-06,0.00021996006850244498,-47.41559399296699
-0.2020408163265306,-22.199686781783385,-1.2779551796168533,-0.12504308926182972,-0.0001887393948187821,-1.4330095308157098e-06,2.700546439051841,-0.06922595279438326,-18.118229792005543,0.008495044373044713,1.9481171575009206,-1.4950047859505098,-7.997990561392498e-06,0.00021349275651516564,-38.6279716181251
-0.19591836734693877,-17.075054475447814,-1.234769463928636,-0.12001757100280841,-0.00018301900158945728,-1.3895830751620153e-06,4.202908266622863,-0.06660926590246419,-16.993386497169514,0.008144183128090177,1.8975113174975853,-1.324865307806272,-7.520607665512102e-06,0.0002070253171631009,-30.706123717884143
-0.18979591836734694,-12.598648538948282,-1.1918621352256622,-0.11506928152758533,-0.00017729867196791815,-1.3461567400785412e-06,5.593580086073846,-0.06402779058872454,-15.895956936500898,0.007796559983529683,1.8458199348096596,-1.169774330803513,-7.057913542496408e-06,0.00020055775041427637,-23.588127577719465
-0.18367346938775508,-8.722105199714406,-1.1492332297390604,-0.11019822490964515,-0.00017157840592574303,-1.3027305240109754e-06,6.873828864064905,-0.06148124995578286,-14.827723498148838,0.00745748990505124,1.7931008700325322,-1.0287997564091462,-6.609908179910917e-06,0.00019409005629711373,-17.225139335862725
-0.17755102040816326,-5.396157909474596,-1.106882783418655,-0.10540440521671002,-0.00016585820350556446,-1.2593044290687416e-06,8.044915742130279,-0.05896936817369891,-13.785074481220743,0.0071242006355971554,1.739412949143114,-0.9010519510598183,-6.176591575979273e-06,0.0001876222347831913,-11.562073678519958
-0.17142857142857143,-2.57352695173995,-1.0648108319289236,-0.10068782652739117,-0.00016013806466119718,-1.2158784544746837e-06,9.108096964929732,-0.0564918704807269,-12.76953787319665,0.006794323052767837,1.6848113610096203,-0.7856704495141358,-5.757963723596049e-06,0.00018115428589737803,-6.551009112016599
-0.16530612244897958,-0.2089265443801196,-1.0230174106421686,-0.09604849290646555,-0.00015441798943882645,-1.172452600339824e-06,10.064623310731534,-0.05404848318229938,-11.781180302374601,0.006475063560982264,1.6293505319348913,-0.6818239548520424,-5.3540246192085306e-06,0.0001746862096254631,-2.144582540367322
-0.15918367346938775,1.7408705413938605,-0.981502554637359,-0.09148640843028488,-0.00014869797780647787,-1.1290268664421177e-06,10.915739752444487,-0.051638933653833874,-10.82188215754677,0.006159258223902064,1.5730862811615989,-0.5887103384741508,-4.964774253934934e-06,0.00016821800597810466,1.7006488667085007
-0.15306122448979592,3.3170951632641845,-0.9402662986956329,-0.08700157716665302,-0.0001429780297890204,-1.0856012523374758e-06,11.662686495060466,-0.04926295033828154,-9.893036845490968,0.005849318718396113,1.5160763940943447,-0.5055566401012097,-4.590212624222545e-06,0.00016174967494819725,5.0265961551759295
-0.14693877551020407,4.558961443456155,-0.8993086772934333,-0.08259400318943477,-0.0001372581453651378,-1.0421757585810099e-06,12.30669804449663,-0.04692026274926775,-9.001546674307995,0.0055452594262730415,1.4583740651068418,-0.4316190677734273,-4.230339728295007e-06,0.0001552812165357409,7.867602877728025
-0.14081632653061224,5.503663707124133,-0.8586297246016699,-0.07826369057467275,-0.0001315383245703572,-9.987503853947644e-07,12.849002935582327,-0.044610601468136224,-8.142215594345235,0.005247092073815907,1.4000317014088335,-0.36618299784989894,-3.88515555549418e-06,0.00014881263073718287,10.268055217749724
-0.1346938775510204,6.186374711524422,-0.8182294744789118,-0.07401064338487373,-0.000125818567337177,-9.553251325566947e-07,13.290825405363556,-0.042333698146627796,-7.3167639467664465,0.004954825782258254,1.341102280563593,-0.3085629750080141,-3.554660105820062e-06,0.0001423439175596286,12.263368500813941
-0.12857142857142856,6.640243634752551,-0.7781079604681267,-0.06983486569946962,-0.00012009887371888794,-9.118999996227117e-07,13.633384509622681,-0.04008928550630486,-6.530003726046626,0.004668467120028552,1.2816460381671373,-0.2581027122428594,-3.2388533721672275e-06,0.00013587507699597268,13.883815725148915
-0.12244897959183673,6.89639848591878,-0.7382652157901148,-0.06573636158816498,-0.00011437924371904273,-8.684749873699715e-07,13.877893175167767,-0.037877097338807175,-5.779176325710726,0.004388020156564032,1.2217069611486497,-0.21417509086662712,-2.937735350982962e-06,0.00012940610905687322,15.165167771752321
-0.1163265306122449,6.98392654460622,-0.6987012733433318,-0.06171513512099125,-0.00010865967729856152,-8.250500955764295e-07,14.025559299013134,-0.03569686850666898,-5.064465834368516,0.004113486517677956,1.1613478275257254,-0.17618216050804136,-2.6513060404909083e-06,0.00012293701372456667,16.1381966867955
-0.11020408163265305,6.929901424549598,-0.659416165694438,-0.05777119037023937,-0.00010294017447876058,-7.816253236869741e-07,14.07758562104665,-0.03354833494271503,-4.386057956040284,0.0038448654421827655,1.100612179738226,-0.14355513911178974,-2.3795654371383534e-06,0.00011646779102392202,16.831605671042976
